month,year,trips,transport_type,load_timestamp
"Jan","2026","542","Hudhei","2026-02-27 02:23:27"
"Jan","2026","35","Umm Na","2026-02-27 02:23:27"
"Jan","2026","15558","Airpor","2026-02-27 02:23:27"
"Jan","2026","171","Jebel ","2026-02-27 02:23:27"
"Jan","2026","231","Marine","2026-02-27 02:23:27"
"Jan","2026","33","Mizhar","2026-02-27 02:23:27"
"Jan","2026","268","Silico","2026-02-27 02:23:27"
"Jan","2026","584","Dubai ","2026-02-27 02:23:27"
"Jan","2026","268","Sharaf","2026-02-27 02:23:27"
"Jan","2026","599","Satwa,","2026-02-27 02:23:27"
"Jan","2026","1640","Intern","2026-02-27 02:23:27"
"Jan","2026","62","E311 R","2026-02-27 02:23:27"
"Jan","2026","279","Al Quo","2026-02-27 02:23:27"
"Jan","2026","370","Gold S","2026-02-27 02:23:27"
"Jan","2026","223","Al Qus","2026-02-27 02:23:27"
"Jan","2026","101","Al Bad","2026-02-27 02:23:27"
"Jan","2026","134","Mirdif","2026-02-27 02:23:27"
"Jan","2026","530","Al Bar","2026-02-27 02:23:27"
"Jan","2026","114","Al Bar","2026-02-27 02:23:27"
"Jan","2026","24","Al Was","2026-02-27 02:23:27"
"Jan","2026","311","Centre","2026-02-27 02:23:27"
"Jan","2026","140","The Gr","2026-02-27 02:23:27"
"Jan","2026","34","Marina","2026-02-27 02:23:27"
"Jan","2026","704","Jumeir","2026-02-27 02:23:27"
"Jan","2026","52386","Union ","2026-02-27 02:23:27"
"Jan","2026","42","Dhiyaf","2026-02-27 02:23:27"
"Jan","2026","4","Safa, ","2026-02-27 02:23:27"
"Jan","2026","568","Al Quo","2026-02-27 02:23:27"
"Jan","2026","95","Sport ","2026-02-27 02:23:27"
"Jan","2026","776","Sharja","2026-02-27 02:23:27"
"Jan","2026","61","Ghadee","2026-02-27 02:23:27"
"Jan","2026","81","Wasl E","2026-02-27 02:23:27"
"Jan","2026","126","Umm Su","2026-02-27 02:23:27"
"Jan","2026","852","Ras Al","2026-02-27 02:23:27"
"Jan","2026","84","Al Nah","2026-02-27 02:23:27"
"Jan","2026","187","Aden S","2026-02-27 02:23:27"
"Jan","2026","28","Naffco","2026-02-27 02:23:27"
"Jan","2026","72","Hor Al","2026-02-27 02:23:27"
"Jan","2026","33","Le Mer","2026-02-27 02:23:27"
"Jan","2026","7","BMA Li","2026-02-27 02:23:27"
"Jan","2026","489","City C","2026-02-27 02:23:27"
"Jan","2026","315","Khadri","2026-02-27 02:23:27"
"Jan","2026","43","Silico","2026-02-27 02:23:27"
"Jan","2026","45931","DMCC M","2026-02-27 02:23:27"
"Jan","2026","330","Aden S","2026-02-27 02:23:27"
"Jan","2026","15756","Ibn Ba","2026-02-27 02:23:27"
"Jan","2026","120","Amssar","2026-02-27 02:23:27"
"Jan","2026","153","Sharja","2026-02-27 02:23:27"
"Jan","2026","123","Discov","2026-02-27 02:23:27"
"Jan","2026","142","Al Ghu","2026-02-27 02:23:27"
"Jan","2026","19","Mamzar","2026-02-27 02:23:27"
"Jan","2026","280","Al Nah","2026-02-27 02:23:27"
"Jan","2026","172","Hudhei","2026-02-27 02:23:27"
"Jan","2026","226","Ibn Ba","2026-02-27 02:23:27"
"Jan","2026","198","Umm Su","2026-02-27 02:23:27"
