nationality,gender,license_type,age_group,licenses_num,load_timestamp
"هولندا","FEMALE","Registration","19-20","1","2026-02-23 16:21:09"
"منغوليا","MALE","Registration","30-40","1","2026-02-23 16:21:09"
"سوريا","FEMALE","Registration","40-60","31","2026-02-23 16:21:09"
"السويد","MALE","Registration","40-60","15","2026-02-23 16:21:09"
"ايرلندا","MALE","Registration","20-30","9","2026-02-23 16:21:09"
"فنلندا","FEMALE","Registration","40-60","3","2026-02-23 16:21:09"
"السعوديه","FEMALE","Registration","20-30","3","2026-02-23 16:21:09"
"الدانمارك","FEMALE","Registration","40-60","1","2026-02-23 16:21:09"
"باكستان","FEMALE","Update Info","20-30","1","2026-02-23 16:21:09"
"الامارات","FEMALE","Update Info","30-40","2","2026-02-23 16:21:09"
"ايران","FEMALE","Update Info","30-40","1","2026-02-23 16:21:09"
"هولندا","MALE","Registration","30-40","30","2026-02-23 16:21:09"
"سوريا","FEMALE","Registration","60+","3","2026-02-23 16:21:09"
"الهند","MALE","Registration","60+","105","2026-02-23 16:21:09"
"المغرب","FEMALE","Registration","40-60","17","2026-02-23 16:21:09"
"ايران","MALE","Registration","19-20","3","2026-02-23 16:21:09"
"المملكه المتحدة","MALE","Registration","20-30","87","2026-02-23 16:21:09"
"مصر","MALE","Transfer of Ownership","30-40","3","2026-02-23 16:21:09"
"مملكة البحرين","FEMALE","Registration","20-30","1","2026-02-23 16:21:09"
"موزمبيق","MALE","Registration","20-30","1","2026-02-23 16:21:09"
"المملكه المتحدة","MALE","Change Plate Number","30-40","1","2026-02-23 16:21:09"
"السودان","MALE","Registration","40-60","61","2026-02-23 16:21:09"
"الهند","MALE","Update Info","20-30","1","2026-02-23 16:21:09"
"اذربيجان","MALE","Registration","20-30","6","2026-02-23 16:21:09"
"الولايات المتحدة","MALE","Registration","40-60","73","2026-02-23 16:21:09"
"دومينيكا","FEMALE","Registration","60+","1","2026-02-23 16:21:09"
"العراق","MALE","Change Plate Number","40-60","3","2026-02-23 16:21:09"
"مصر","MALE","Update Info","20-30","1","2026-02-23 16:21:09"
"قبرص","MALE","Change Plate Number","60+","1","2026-02-23 16:21:09"
"قبرص","MALE","Registration","40-60","9","2026-02-23 16:21:09"
"اوروغواي","FEMALE","Registration","40-60","1","2026-02-23 16:21:09"
"سانت لوسيا","MALE","Registration","30-40","1","2026-02-23 16:21:09"
"كازاخستان","FEMALE","Transfer of Ownership","40-60","1","2026-02-23 16:21:09"
"كينيا","MALE","Registration","30-40","5","2026-02-23 16:21:09"
"المملكه المتحدة","MALE","Registration","60+","35","2026-02-23 16:21:09"
"البرازيل","FEMALE","Registration","30-40","12","2026-02-23 16:21:09"
"دومينيكا","MALE","Registration","40-60","34","2026-02-23 16:21:09"
"موريشيوس","FEMALE","Registration","30-40","1","2026-02-23 16:21:09"
"ايرلندا","FEMALE","Registration","60+","1","2026-02-23 16:21:09"
"الارجنتين","MALE","Registration","30-40","1","2026-02-23 16:21:09"
"عمان","FEMALE","Registration","30-40","4","2026-02-23 16:21:09"
"اليمن","FEMALE","Registration","60+","1","2026-02-23 16:21:09"
"ايطاليا","FEMALE","Registration","20-30","6","2026-02-23 16:21:09"
"المانيا","MALE","Transfer of Ownership","30-40","2","2026-02-23 16:21:09"
"هولندا","FEMALE","Transfer of Ownership","30-40","1","2026-02-23 16:21:09"
"ليبيا","FEMALE","Registration","20-30","1","2026-02-23 16:21:09"
"باكستان","FEMALE","Change Plate Number","40-60","1","2026-02-23 16:21:09"
"ايران","MALE","Registration","20-30","35","2026-02-23 16:21:09"
"فلسطين","FEMALE","Registration","60+","1","2026-02-23 16:21:09"
"مصر","FEMALE","Registration","20-30","27","2026-02-23 16:21:09"
"ارتيريا","MALE","Registration","30-40","1","2026-02-23 16:21:09"
"كندا","MALE","Update Info","30-40","1","2026-02-23 16:21:09"
"سوريا","MALE","Update Info","30-40","3","2026-02-23 16:21:09"
"كندا","MALE","Change Plate Number","40-60","1","2026-02-23 16:21:09"
"فرنسا","FEMALE","Transfer of Ownership","40-60","2","2026-02-23 16:21:09"
"افغانستان","FEMALE","Registration","30-40","4","2026-02-23 16:21:09"
"روسيا","FEMALE","Registration","60+","1","2026-02-23 16:21:09"
"باكستان","FEMALE","Registration","40-60","60","2026-02-23 16:21:09"
"ايطاليا","FEMALE","Registration","30-40","8","2026-02-23 16:21:09"
"تركمانستان","FEMALE","Registration","30-40","2","2026-02-23 16:21:09"
"عمان","MALE","Registration","30-40","8","2026-02-23 16:21:09"
"المجر","MALE","Registration","30-40","2","2026-02-23 16:21:09"
"فنزويلا","FEMALE","Change Plate Number","30-40","1","2026-02-23 16:21:09"
"البوسنه والهرسك","FEMALE","Registration","60+","1","2026-02-23 16:21:09"
"النرويج","MALE","Registration","20-30","1","2026-02-23 16:21:09"
"العراق","FEMALE","Registration","30-40","6","2026-02-23 16:21:09"
"لبنان","MALE","Registration","20-30","22","2026-02-23 16:21:09"
"الكاميرون","MALE","Registration","40-60","5","2026-02-23 16:21:09"
"بوركينا فاسو","MALE","Registration","30-40","2","2026-02-23 16:21:09"
"موريشيوس","MALE","Registration","40-60","2","2026-02-23 16:21:09"
"كندا","FEMALE","Update Info","40-60","1","2026-02-23 16:21:09"
"الهند","MALE","Update Info","30-40","4","2026-02-23 16:21:09"
"روسيا","FEMALE","Change Plate Number","40-60","1","2026-02-23 16:21:09"
"اوزباكستان","MALE","Change Plate Number","40-60","3","2026-02-23 16:21:09"
"اوزباكستان","FEMALE","Transfer of Ownership","40-60","1","2026-02-23 16:21:09"
"فرنسا","FEMALE","Update Info","30-40","1","2026-02-23 16:21:09"
"كندا","FEMALE","Transfer of Ownership","30-40","1","2026-02-23 16:21:09"
"فلسطين","MALE","Registration","60+","4","2026-02-23 16:21:09"
"الصومال","FEMALE","Registration","20-30","1","2026-02-23 16:21:09"
"كازاخستان","MALE","Registration","20-30","4","2026-02-23 16:21:09"
"ترينيداد و توباجو","FEMALE","Registration","40-60","1","2026-02-23 16:21:09"
"نيجيريا","FEMALE","Registration","20-30","1","2026-02-23 16:21:09"
"الامارات","MALE","Transfer of Ownership","40-60","6","2026-02-23 16:21:09"
"مملكة البحرين","MALE","Registration","30-40","4","2026-02-23 16:21:09"
"اوغنده","FEMALE","Registration","20-30","1","2026-02-23 16:21:09"
"ايطاليا","FEMALE","Transfer of Ownership","30-40","1","2026-02-23 16:21:09"
"قيرغيزستان","MALE","Registration","30-40","12","2026-02-23 16:21:09"
"ليتوانيا","FEMALE","Registration","30-40","4","2026-02-23 16:21:09"
"الصين","FEMALE","Transfer of Ownership","40-60","1","2026-02-23 16:21:09"
"ايرلندا","MALE","Registration","60+","3","2026-02-23 16:21:09"
"الارجنتين","MALE","Registration","60+","1","2026-02-23 16:21:09"
"هولندا","MALE","Transfer of Ownership","60+","1","2026-02-23 16:21:09"
"الاردن","FEMALE","Registration","60+","1","2026-02-23 16:21:09"
"الامارات","FEMALE","Transfer of Ownership","30-40","1","2026-02-23 16:21:09"
"فنزويلا","FEMALE","Registration","30-40","1","2026-02-23 16:21:09"
"المغرب","MALE","Update Info","30-40","1","2026-02-23 16:21:09"
"مصر","MALE","Registration","60+","14","2026-02-23 16:21:09"
"اليونان","FEMALE","Registration","20-30","1","2026-02-23 16:21:09"
"ايطاليا","MALE","Transfer of Ownership","30-40","2","2026-02-23 16:21:09"
"ايران","MALE","Transfer of Ownership","40-60","2","2026-02-23 16:21:09"
"سويسرا","FEMALE","Registration","40-60","6","2026-02-23 16:21:09"
"سيريلانكا","MALE","Transfer of Ownership","40-60","1","2026-02-23 16:21:09"
"الهند","MALE","Registration","20-30","321","2026-02-23 16:21:09"
"اذربيجان","FEMALE","Registration","40-60","3","2026-02-23 16:21:09"
"الولايات المتحدة","FEMALE","Registration","30-40","11","2026-02-23 16:21:09"
"رومانيا","MALE","Registration","20-30","4","2026-02-23 16:21:09"
"جزر القمر","FEMALE","Registration","30-40","3","2026-02-23 16:21:09"
"طاجكستان","FEMALE","Registration","20-30","1","2026-02-23 16:21:09"
"باكستان","MALE","Transfer of Ownership","60+","1","2026-02-23 16:21:09"
"البرتغال","FEMALE","Registration","40-60","5","2026-02-23 16:21:09"
"سانت لوسيا","MALE","Transfer of Ownership","40-60","1","2026-02-23 16:21:09"
"الولايات المتحدة","MALE","Registration","20-30","13","2026-02-23 16:21:09"
"السويد","FEMALE","Registration","40-60","3","2026-02-23 16:21:09"
"سلوفينيا","FEMALE","Registration","30-40","1","2026-02-23 16:21:09"
